pwsid,org_id,year,source_type,source_status,number_of_sources
CA0610002,NA,2022,emergency interties,new,NA
CA0610002,NA,2022,groundwater,approved,5
CA0610002,NA,2022,groundwater,new,NA
CA0610002,NA,2022,purchased grounwater,approved,0
CA0610002,NA,2022,purchased grounwater,new,NA
CA0610002,NA,2022,purchased surface water,approved,0
CA0610002,NA,2022,purchased surface water,new,NA
CA0610002,NA,2022,standby sources,approved,0
CA0610002,NA,2022,standby sources,new,NA
CA0610002,NA,2022,surface water,approved,0
CA0610002,NA,2022,surface water,new,NA
CA0610004,NA,2022,emergency interties,approved,0
CA0610004,NA,2022,emergency interties,new,NA
CA0610004,NA,2022,groundwater,approved,2
CA0610004,NA,2022,groundwater,new,NA
CA0610004,NA,2022,purchased grounwater,approved,0
CA0610004,NA,2022,purchased grounwater,new,NA
CA0610004,NA,2022,purchased surface water,approved,0
CA0610004,NA,2022,purchased surface water,new,NA
CA0610004,NA,2022,standby sources,approved,0
CA0610004,NA,2022,standby sources,new,NA
CA0610004,NA,2022,surface water,approved,0
CA0610004,NA,2022,surface water,new,NA
CA0710001,82,2022,emergency interties,approved,0
CA0710001,82,2022,emergency interties,new,NA
CA0710001,82,2022,groundwater,approved,0
CA0710001,82,2022,groundwater,new,NA
CA0710001,82,2022,purchased grounwater,approved,0
CA0710001,82,2022,purchased grounwater,new,NA
CA0710001,82,2022,purchased surface water,approved,2
CA0710001,82,2022,purchased surface water,new,NA
CA0710001,82,2022,standby sources,approved,0
CA0710001,82,2022,standby sources,new,NA
CA0710001,82,2022,surface water,approved,2
CA0710001,82,2022,surface water,new,NA
CA0710002,1031,2022,emergency interties,approved,1
CA0710002,1031,2022,emergency interties,new,NA
CA0710002,1031,2022,groundwater,approved,2
CA0710002,1031,2022,groundwater,new,NA
CA0710002,1031,2022,purchased grounwater,approved,0
CA0710002,1031,2022,purchased grounwater,new,NA
CA0710002,1031,2022,purchased surface water,approved,2
CA0710002,1031,2022,purchased surface water,new,NA
CA0710002,1031,2022,standby sources,approved,0
CA0710002,1031,2022,standby sources,new,NA
CA0710002,1031,2022,surface water,approved,0
CA0710002,1031,2022,surface water,new,NA
CA0710003,613,2022,emergency interties,approved,0
CA0710003,613,2022,emergency interties,new,NA
CA0710003,613,2022,groundwater,approved,0
CA0710003,613,2022,groundwater,new,NA
CA0710003,613,2022,purchased grounwater,approved,0
CA0710003,613,2022,purchased grounwater,new,NA
CA0710003,613,2022,purchased surface water,approved,3
CA0710003,613,2022,purchased surface water,new,NA
CA0710003,613,2022,standby sources,approved,0
CA0710003,613,2022,standby sources,new,NA
CA0710003,613,2022,surface water,approved,10
CA0710003,613,2022,surface water,new,NA
CA0710004,264,2022,emergency interties,approved,0
CA0710004,264,2022,emergency interties,new,0
CA0710004,264,2022,groundwater,approved,6
CA0710004,264,2022,groundwater,new,0
CA0710004,264,2022,purchased grounwater,approved,0
CA0710004,264,2022,purchased grounwater,new,0
CA0710004,264,2022,purchased surface water,approved,2
CA0710004,264,2022,purchased surface water,new,0
CA0710004,264,2022,standby sources,approved,0
CA0710004,264,2022,standby sources,new,0
CA0710004,264,2022,surface water,approved,0
CA0710004,264,2022,surface water,new,0
CA0710006,1554,2022,emergency interties,approved,2
CA0710006,1554,2022,emergency interties,new,0
CA0710006,1554,2022,groundwater,approved,0
CA0710006,1554,2022,groundwater,new,0
CA0710006,1554,2022,purchased grounwater,approved,0
CA0710006,1554,2022,purchased grounwater,new,0
CA0710006,1554,2022,purchased surface water,approved,1
CA0710006,1554,2022,purchased surface water,new,0
CA0710006,1554,2022,standby sources,approved,0
CA0710006,1554,2022,standby sources,new,0
CA0710006,1554,2022,surface water,approved,0
CA0710006,1554,2022,surface water,new,0
CA0710007,731,2022,emergency interties,approved,0
CA0710007,731,2022,emergency interties,new,NA
CA0710007,731,2022,groundwater,approved,4
CA0710007,731,2022,groundwater,new,NA
CA0710007,731,2022,purchased grounwater,approved,0
CA0710007,731,2022,purchased grounwater,new,NA
CA0710007,731,2022,purchased surface water,approved,1
CA0710007,731,2022,purchased surface water,new,NA
CA0710007,731,2022,standby sources,approved,0
CA0710007,731,2022,standby sources,new,NA
CA0710007,731,2022,surface water,approved,0
CA0710007,731,2022,surface water,new,NA
CA0710008,1925,2022,emergency interties,approved,0
CA0710008,1925,2022,emergency interties,new,0
CA0710008,1925,2022,groundwater,approved,2
CA0710008,1925,2022,groundwater,new,0
CA0710008,1925,2022,purchased grounwater,approved,0
CA0710008,1925,2022,purchased grounwater,new,0
CA0710008,1925,2022,purchased surface water,approved,1
CA0710008,1925,2022,purchased surface water,new,0
CA0710008,1925,2022,standby sources,approved,0
CA0710008,1925,2022,standby sources,new,0
CA0710008,1925,2022,surface water,approved,0
CA0710008,1925,2022,surface water,new,0
CA0710009,739,2022,emergency interties,approved,0
CA0710009,739,2022,emergency interties,new,0
CA0710009,739,2022,groundwater,approved,5
CA0710009,739,2022,groundwater,new,0
CA0710009,739,2022,purchased grounwater,approved,0
CA0710009,739,2022,purchased grounwater,new,0
CA0710009,739,2022,purchased surface water,approved,0
CA0710009,739,2022,purchased surface water,new,0
CA0710009,739,2022,standby sources,approved,1
CA0710009,739,2022,standby sources,new,0
CA0710009,739,2022,surface water,approved,0
CA0710009,739,2022,surface water,new,0
CA0810001,649,2022,emergency interties,approved,0
CA0810001,649,2022,emergency interties,new,0
CA0810001,649,2022,groundwater,approved,1
CA0810001,649,2022,groundwater,new,0
CA0810001,649,2022,purchased grounwater,approved,0
CA0810001,649,2022,purchased grounwater,new,0
CA0810001,649,2022,purchased surface water,approved,0
CA0810001,649,2022,purchased surface water,new,0
CA0810001,649,2022,standby sources,approved,0
CA0810001,649,2022,standby sources,new,0
CA0810001,649,2022,surface water,approved,0
CA0810001,649,2022,surface water,new,0
CA0910001,816,2022,emergency interties,approved,0
CA0910001,816,2022,emergency interties,new,0
CA0910001,816,2022,groundwater,approved,0
CA0910001,816,2022,groundwater,new,0
CA0910001,816,2022,purchased grounwater,approved,0
CA0910001,816,2022,purchased grounwater,new,0
CA0910001,816,2022,purchased surface water,approved,0
CA0910001,816,2022,purchased surface water,new,0
CA0910001,816,2022,standby sources,approved,0
CA0910001,816,2022,standby sources,new,0
CA0910001,816,2022,surface water,approved,3
CA0910001,816,2022,surface water,new,0
CA0910002,2348,2022,emergency interties,approved,0
CA0910002,2348,2022,emergency interties,new,0
CA0910002,2348,2022,groundwater,approved,14
CA0910002,2348,2022,groundwater,new,0
CA0910002,2348,2022,purchased grounwater,approved,0
CA0910002,2348,2022,purchased grounwater,new,0
CA0910002,2348,2022,purchased surface water,approved,0
CA0910002,2348,2022,purchased surface water,new,0
CA0910002,2348,2022,standby sources,approved,0
CA0910002,2348,2022,standby sources,new,0
CA0910002,2348,2022,surface water,approved,0
CA0910002,2348,2022,surface water,new,0
CA0910003,NA,2022,emergency interties,approved,0
CA0910003,NA,2022,emergency interties,new,NA
CA0910003,NA,2022,groundwater,approved,0
CA0910003,NA,2022,groundwater,new,NA
CA0910003,NA,2022,purchased grounwater,approved,0
CA0910003,NA,2022,purchased grounwater,new,NA
CA0910003,NA,2022,purchased surface water,approved,10
CA0910003,NA,2022,purchased surface water,new,NA
CA0910003,NA,2022,standby sources,approved,0
CA0910003,NA,2022,standby sources,new,NA
CA0910003,NA,2022,surface water,approved,0
CA0910003,NA,2022,surface water,new,NA
CA0910013,990,2022,emergency interties,approved,0
CA0910013,990,2022,emergency interties,new,0
CA0910013,990,2022,groundwater,approved,0
CA0910013,990,2022,groundwater,new,0
CA0910013,990,2022,purchased grounwater,approved,0
CA0910013,990,2022,purchased grounwater,new,0
CA0910013,990,2022,purchased surface water,approved,0
CA0910013,990,2022,purchased surface water,new,0
CA0910013,990,2022,standby sources,approved,0
CA0910013,990,2022,standby sources,new,0
CA0910013,990,2022,surface water,approved,2
CA0910013,990,2022,surface water,new,0
CA0910015,NA,2022,emergency interties,approved,0
CA0910015,NA,2022,emergency interties,new,0
CA0910015,NA,2022,groundwater,approved,3
CA0910015,NA,2022,groundwater,new,0
CA0910015,NA,2022,purchased grounwater,approved,2
CA0910015,NA,2022,purchased grounwater,new,0
CA0910015,NA,2022,purchased surface water,approved,0
CA0910015,NA,2022,purchased surface water,new,0
CA0910015,NA,2022,standby sources,approved,0
CA0910015,NA,2022,standby sources,new,0
CA0910015,NA,2022,surface water,approved,0
CA0910015,NA,2022,surface water,new,0
CA1010001,124,2022,emergency interties,approved,0
CA1010001,124,2022,emergency interties,new,0
