pwsid,year,source_type,source_name
CA0300024,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""WELL 02 - RAW"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300024,2022,SourcesGWNotListedGrid,NA
CA0300024,2022,SourcesSWGrid,NA
CA0300024,2022,SourcesSWNotListedGrid,NA
CA0300025,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAMS STATION WELL 01                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300025,2022,SourcesGWNotListedGrid,NA
CA0300025,2022,SourcesSWGrid,NA
CA0300025,2022,SourcesSWNotListedGrid,NA
CA0300028,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""AMADOR HARVEST INN WELL 01              "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300028,2022,SourcesGWNotListedGrid,NA
CA0300028,2022,SourcesSWGrid,NA
CA0300028,2022,SourcesSWNotListedGrid,NA
CA0300032,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""SILVER LAKE CAMPGROUND SPRING 01"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0300032,2022,SourcesGWNotListedGrid,NA
CA0300032,2022,SourcesSWGrid,NA
CA0300032,2022,SourcesSWNotListedGrid,NA
CA0300033,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""BEAR RIVER SO SHORE SPRING 01"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0300033,2022,SourcesGWNotListedGrid,NA
CA0300033,2022,SourcesSWGrid,NA
CA0300033,2022,SourcesSWNotListedGrid,NA
CA0300034,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""BEAR RIVER GROUP CAMP WELL 01           "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300034,2022,SourcesGWNotListedGrid,NA
CA0300034,2022,SourcesSWGrid,NA
CA0300034,2022,SourcesSWNotListedGrid,NA
CA0300036,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""BEAR RIVER RESORT WELL 01               "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300036,2022,SourcesGWNotListedGrid,NA
CA0300036,2022,SourcesSWGrid,NA
CA0300036,2022,SourcesSWNotListedGrid,NA
CA0300048,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""BARRETT'S PLACE WELL 01                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0300048,2022,SourcesGWNotListedGrid,NA
CA0300048,2022,SourcesSWGrid,NA
CA0300048,2022,SourcesSWNotListedGrid,NA
