pwsid,population
CA2300863,73
CA2300874,50
CA2300892,30
CA2301010,90
CA2310001,6970
CA2310002,2554
CA2310003,16607
CA2310004,6175
CA2310005,3797
CA2310006,5500
CA2310007,2593
CA2310008,5200
CA2310009,3632
CA2310010,1076
CA2310011,2000
CA2310012,254
CA2310013,667
CA2400046,367
CA2400053,137
CA2400062,64
CA2400064,284
CA2400065,120
CA2400066,567
CA2400071,321
CA2400075,219
CA2400079,991
CA2400084,36
CA2400091,325
CA2400097,155
CA2400099,100
CA2400113,290
CA2400122,120
CA2400128,64
CA2400134,118
CA2400148,153
CA2400167,238
CA2400172,800
CA2400201,156
CA2400209,300
CA2400211,54
CA2400219,36
CA2410001,29479
CA2410002,7452
CA2410003,5945
CA2410004,14894
CA2410005,46639
CA2410006,7784
CA2410007,4500
CA2410008,5669
CA2410009,92058
CA2410010,9500
CA2410011,1739
CA2410012,5504
CA2410018,2211
CA2410700,1650
CA2500503,862
CA2500513,53
CA2500801,629
CA2500911,118
CA2510001,2715
CA2510002,600
CA2600501,150
CA2600532,70
CA2600538,310
CA2600546,175
CA2600547,230
CA2600568,26
CA2600570,216
CA2600620,505
CA2600621,142
CA2600622,84
CA2600699,45
CA2600714,86
CA2600733,65
CA2610001,8234
CA2610002,2763
CA2610003,851
CA2610004,2810
CA2610005,672
CA2610700,1200
CA2610701,325
CA2700503,126
CA2700509,92
CA2700511,928
CA2700522,400
CA2700523,40
CA2700534,198
CA2700535,56
CA2700536,45
CA2700541,55
CA2700547,56
CA2700548,120
CA2700552,579
CA2700577,694
CA2700579,60
CA2700586,535
CA2700589,73
CA2700594,174
CA2700606,65
CA2700612,162
CA2700622,35
CA2700624,59
CA2700629,75
CA2700634,70
CA2700638,48
CA2700656,67
CA2700662,65
CA2700663,66
CA2700665,105
CA2700669,32
CA2700674,180
CA2700678,42
CA2700682,206
CA2700686,65
CA2700687,120
CA2700691,50
CA2700702,277
CA2700705,655
CA2700709,100
CA2700713,184
CA2700727,300
CA2700728,575
CA2700731,62
CA2700733,49
CA2700738,100
CA2700740,45
CA2700766,78
CA2700771,200
CA2700772,166
CA2700773,880
CA2700775,48
CA2700787,438
CA2700792,95
CA2700799,92
CA2700837,65
CA2700838,90
CA2700842,40
CA2700964,100
CA2700970,36
CA2701034,75
CA2701036,60
CA2701040,72
CA2701046,126
CA2701063,65
CA2701068,86
CA2701202,1139
CA2701221,250
CA2701241,91
CA2701254,584
CA2701257,30
CA2701263,35
CA2701278,58
CA2701279,129
CA2701280,550
CA2701295,246
CA2701355,126
CA2701364,273
CA2701367,63
CA2701403,36
CA2701423,45
CA2701452,243
CA2701498,75
CA2701503,90
CA2701515,402
CA2701553,216
CA2701570,105
CA2701589,45
CA2701633,48
CA2701647,56
CA2701658,130
CA2701670,81
CA2701676,315
CA2701687,128
CA2701701,25
CA2701705,150
CA2701731,41
CA2701740,120
CA2701742,150
CA2701789,108
CA2701800,90
CA2701820,54
CA2701822,92
CA2701888,55
CA2701897,50
CA2701898,123
CA2701904,249
CA2701906,54
CA2701918,93
CA2701926,210
CA2701929,621
CA2701935,45
CA2701956,64
CA2701959,54
CA2702003,65
CA2702004,96
CA2702007,164
CA2702026,53
CA2702055,66
CA2702073,93
CA2702094,60
CA2702110,60
CA2702135,46
CA2702140,73
CA2702148,101
CA2702180,56
CA2702198,183
CA2702254,25
CA2702256,60
CA2702268,44
CA2702299,286
CA2702317,100
CA2702320,175
CA2702322,95
CA2702325,133
CA2702328,193
CA2702374,223
CA2702388,60
CA2702405,129
CA2702409,133
CA2702439,57
CA2702466,69
CA2702490,70
CA2702520,70
CA2702521,901
CA2702550,25
CA2702554,116
CA2702588,356
CA2702608,60
CA2702816,161
CA2704520,35
CA2710001,30103
CA2710004,92450
CA2710005,6897
CA2710006,980
CA2710007,8576
CA2710008,18967
CA2710009,16044
CA2710010,113086
CA2710011,17073
CA2710012,5291
CA2710013,2083
CA2710016,2327
CA2710017,36214
CA2710018,2800
CA2710019,3160
CA2710020,6500
CA2710021,1065
CA2710022,1106
CA2710023,1079
CA2710300,585
CA2710702,2753
CA2710850,5500
CA2710851,2930
CA2800035,66
CA2800039,65
CA2800040,66
CA2800516,200
CA2800521,500
CA2800525,67
CA2800526,498
CA2800527,35
CA2800528,90
CA2800530,250
CA2800531,70
CA2800532,25
CA2800543,208
CA2800593,28
CA2800625,860
CA2800840,100
CA2800847,100
CA2800848,100
CA2800970,100
CA2801016,250
CA2801080,44
CA2810001,1498
CA2810002,5610
CA2810003,85005
CA2810004,5386
CA2810005,20990
CA2810007,2751
CA2810008,0
CA2810009,261
CA2810012,1958
CA2810013,669
CA2810014,230
CA2900502,110
CA2900511,90
CA2900523,330
CA2900529,60
CA2900530,268
CA2900531,300
CA2900535,250
CA2900536,160
CA2900541,35
CA2900546,125
CA2900548,100
CA2900562,230
CA2900578,125
CA2900587,50
CA2900593,120
CA2900601,41
CA2901208,60
CA2904011,44
CA2910001,4947
CA2910002,3148
CA2910003,36730
CA2910004,17154
CA2910006,14072
CA2910010,85
CA2910011,376
CA2910013,100
CA2910014,6870
CA2910016,310
CA2910023,9108
CA3000519,139
CA3000585,119
CA3000618,72
CA3000825,825
CA3010001,341245
CA3010002,47589
CA3010003,81998
CA3010004,110000
CA3010008,2000
CA3010010,141874
CA3010017,18401
CA3010018,63118
CA3010022,113106
CA3010023,68572
CA3010027,117150
CA3010030,38958
CA3010035,49808
CA3010036,51545
CA3010037,84054
CA3010038,337716
CA3010041,24937
CA3010042,34724
CA3010046,66600
CA3010047,6986
CA3010053,201000
CA3010062,174226
CA3010064,95256
CA3010068,3222
CA3010069,56747
CA3010071,0
CA3010073,170236
CA3010079,47911
CA3010082,5773
CA3010092,468941
CA3010093,0
CA3010094,13659
CA3010097,1285
CA3010100,15948
CA3010101,164604
CA3010120,0
CA3100011,290
CA3100014,150
CA3100019,52
CA3100029,200
CA3100038,250
CA3100040,200
CA3100041,250
CA3100043,75
CA3100058,350
CA3100061,52
CA3100069,75
CA3100072,200
CA3100083,260
CA3100105,25
CA3100528,84
CA3100538,31
CA3103310,125
CA3103835,499
CA3103836,499
CA3107339,333
CA3107342,50
CA3110001,6321
CA3110003,6700
CA3110004,51252
CA3110005,20169
CA3110006,3114
CA3110008,149859
CA3110009,5250
CA3110010,5661
CA3110011,844
CA3110012,2500
CA3110013,793
CA3110015,2593
CA3110017,813
CA3110018,750
CA3110019,756
CA3110020,1165
CA3110022,853
CA3110023,524
CA3110024,700
CA3110025,69640
CA3110026,6870
CA3110028,15428
CA3110029,2700
CA3110031,425
CA3110034,1800
CA3110035,1500
CA3110036,507
CA3110040,102
CA3110041,1469
CA3110042,3411
CA3110043,300
CA3110044,201
CA3110047,300
CA3110048,726
CA3110049,50
CA3110050,180
CA3110051,4305
CA3110124,34
CA3110150,5900
CA3200078,32
CA3200102,765
CA3200104,1314
CA3200107,215
CA3200114,28
CA3200127,33
CA3200134,200
CA3200138,53
CA3200148,741
CA3200155,25
CA3200188,280
CA3200189,54
CA3200195,38
CA3200215,100
CA3200509,79
CA3200510,258
CA3205001,150
CA3205003,135
CA3205006,102
CA3210001,630
CA3210002,0
CA3210003,2100
CA3210004,4300
CA3210005,737
CA3210006,6000
CA3210007,1394
CA3210009,2145
CA3210010,1874
CA3210011,1534
CA3301011,152
CA3301018,150
CA3301028,80
CA3301031,552
CA3301040,300
CA3301045,35
CA3301055,264
CA3301107,600
CA3301114,210
CA3301115,544
CA3301145,77
CA3301169,237
CA3301171,100
CA3301180,224
CA3301209,60
CA3301226,16
CA3301267,402
CA3301280,500
CA3301283,566
CA3301294,1047
CA3301308,202
CA3301309,666
CA3301330,90
CA3301355,120
CA3301380,340
CA3301381,350
CA3301428,535
CA3301482,180
CA3301491,198
CA3301502,30
CA3301511,104
CA3301512,232
CA3301528,92
CA3301529,250
CA3301534,302
CA3301535,210
CA3301541,150
CA3301577,700
CA3301588,25
CA3301630,393
CA3301676,157
CA3301682,52
CA3301717,135
CA3301775,733
CA3301800,40
CA3301863,195
CA3301877,59
CA3301879,323
CA3301937,42
CA3301943,889
CA3301990,316
CA3303003,50
CA3303035,73
CA3310001,270000
CA3310002,49241
CA3310003,9890
CA3310004,3542
CA3310005,73224
CA3310006,31179
CA3310007,42554
CA3310008,43223
CA3310009,637387
CA3310012,165586
CA3310016,33828
CA3310017,10061
CA3310018,3095
CA3310019,2963
CA3310020,82668
CA3310021,133292
CA3310022,52913
CA3310025,24909
CA3310026,6733
CA3310028,766
CA3310029,7854
CA3310030,1540
CA3310031,300488
CA3310032,18950
CA3310033,5405
CA3310036,16373
CA3310037,168751
CA3310038,144088
CA3310040,900
CA3310044,36827
CA3310046,4026
CA3310047,2271
CA3310048,4600
CA3310049,82560
CA3310051,8948
CA3310052,709
CA3310074,20526
CA3310075,0
CA3310076,186
CA3310078,496
CA3310080,600
CA3310081,384
CA3310082,4500
CA3310083,0
CA3310800,4300
CA3310801,72
CA3310802,6364
CA3400101,271
CA3400103,100
CA3400106,300
CA3400107,210
CA3400121,318
CA3400122,203
CA3400125,45
CA3400128,60
CA3400130,90
CA3400135,55
